source_org_id,source_system,org_guid,andor_org_name,org_type,parent_org_guid,notes
0048ddc4-bdfa-3022-bb5b-d4ce2fccde47,synthea_andor_1000,ANDOR_ORG_001,Placeholder Org 1,clinic,ANDOR_SYSTEM,placeholder
00857ca4-4f96-33de-8aa3-f69af40a5191,synthea_andor_1000,ANDOR_ORG_002,Placeholder Org 2,clinic,ANDOR_SYSTEM,placeholder
010b8203-f0be-39e6-9927-7cd3627548fa,synthea_andor_1000,ANDOR_ORG_003,Placeholder Org 3,clinic,ANDOR_SYSTEM,placeholder
0155aa79-8a74-307f-b838-012e46ef56e5,synthea_andor_1000,ANDOR_ORG_004,Placeholder Org 4,clinic,ANDOR_SYSTEM,placeholder
01df4ca5-a389-3497-9533-6071f14ded9c,synthea_andor_1000,ANDOR_ORG_005,Placeholder Org 5,clinic,ANDOR_SYSTEM,placeholder
02235cfa-3c94-303c-b129-ff6e5cbe54d9,synthea_andor_1000,ANDOR_ORG_006,Placeholder Org 6,clinic,ANDOR_SYSTEM,placeholder
028455bb-75d9-3f95-814b-8bf9a1183120,synthea_andor_1000,ANDOR_ORG_007,Placeholder Org 7,clinic,ANDOR_SYSTEM,placeholder
028eeb4d-621c-30cc-ac33-342855e1972a,synthea_andor_1000,ANDOR_ORG_008,Placeholder Org 8,clinic,ANDOR_SYSTEM,placeholder
02d96283-c343-321d-a3df-741662407859,synthea_andor_1000,ANDOR_ORG_009,Placeholder Org 9,clinic,ANDOR_SYSTEM,placeholder
02e5274f-9ec0-3242-8750-25842eb0ec46,synthea_andor_1000,ANDOR_ORG_010,Placeholder Org 10,clinic,ANDOR_SYSTEM,placeholder
03610ed4-877a-3f40-89ea-706f452e3d25,synthea_andor_1000,ANDOR_ORG_011,Placeholder Org 11,clinic,ANDOR_SYSTEM,placeholder
0462af21-2163-39f3-851b-13412d92d614,synthea_andor_1000,ANDOR_ORG_012,Placeholder Org 12,clinic,ANDOR_SYSTEM,placeholder
046beb04-5b48-32bd-9d13-2b9a6f5ddca0,synthea_andor_1000,ANDOR_ORG_013,Placeholder Org 13,clinic,ANDOR_SYSTEM,placeholder
046c946f-bbb9-3694-9988-2d88f2c753b9,synthea_andor_1000,ANDOR_ORG_014,Placeholder Org 14,clinic,ANDOR_SYSTEM,placeholder
04b1cccf-342c-3467-9ea8-da8e1b1b9866,synthea_andor_1000,ANDOR_ORG_015,Placeholder Org 15,clinic,ANDOR_SYSTEM,placeholder
04c15573-06de-30e0-bd13-dac68eb95094,synthea_andor_1000,ANDOR_ORG_016,Placeholder Org 16,clinic,ANDOR_SYSTEM,placeholder
04e78d36-1221-30ba-a9fe-64d05bdef45c,synthea_andor_1000,ANDOR_ORG_017,Placeholder Org 17,clinic,ANDOR_SYSTEM,placeholder
0504b341-36d6-37cc-a4f5-4bc1942553c5,synthea_andor_1000,ANDOR_ORG_018,Placeholder Org 18,clinic,ANDOR_SYSTEM,placeholder
053ff3d4-a68e-39fe-8314-c06491e10c6e,synthea_andor_1000,ANDOR_ORG_019,Placeholder Org 19,clinic,ANDOR_SYSTEM,placeholder
058bc94f-0515-3746-8a29-a8d43af0ba44,synthea_andor_1000,ANDOR_ORG_020,Placeholder Org 20,clinic,ANDOR_SYSTEM,placeholder
05e9075d-a173-3c32-a82c-4c0a9150b790,synthea_andor_1000,ANDOR_ORG_021,Placeholder Org 21,clinic,ANDOR_SYSTEM,placeholder
061bfa76-590b-311f-8601-d26ad3c30b2f,synthea_andor_1000,ANDOR_ORG_022,Placeholder Org 22,clinic,ANDOR_SYSTEM,placeholder
06930c22-c9a0-3252-bc86-017679c485bd,synthea_andor_1000,ANDOR_ORG_023,Placeholder Org 23,clinic,ANDOR_SYSTEM,placeholder
06bebf03-2dd0-35c5-bd84-e875046e7d5a,synthea_andor_1000,ANDOR_ORG_024,Placeholder Org 24,clinic,ANDOR_SYSTEM,placeholder
06cb5a09-ca52-3682-8be5-7510b974c7ae,synthea_andor_1000,ANDOR_ORG_025,Placeholder Org 25,clinic,ANDOR_SYSTEM,placeholder
06da9b9f-3916-3812-ab65-42add191003e,synthea_andor_1000,ANDOR_ORG_026,Placeholder Org 26,clinic,ANDOR_SYSTEM,placeholder
06e6cf4c-a5f5-3440-b92f-cda241dffe38,synthea_andor_1000,ANDOR_ORG_027,Placeholder Org 27,clinic,ANDOR_SYSTEM,placeholder
06ff5fdf-d32d-3e67-b2ef-6d0a036b9b84,synthea_andor_1000,ANDOR_ORG_028,Placeholder Org 28,clinic,ANDOR_SYSTEM,placeholder
0757f95a-2eff-3924-81cd-82ae53660244,synthea_andor_1000,ANDOR_ORG_029,Placeholder Org 29,clinic,ANDOR_SYSTEM,placeholder
0788024f-5e67-3d72-b5d3-0356ab9229d4,synthea_andor_1000,ANDOR_ORG_030,Placeholder Org 30,clinic,ANDOR_SYSTEM,placeholder
082a0132-11f8-37f5-aec3-55cf96fca6c9,synthea_andor_1000,ANDOR_ORG_031,Placeholder Org 31,clinic,ANDOR_SYSTEM,placeholder
08f3e895-c63c-38c7-b28e-0858becf6129,synthea_andor_1000,ANDOR_ORG_032,Placeholder Org 32,clinic,ANDOR_SYSTEM,placeholder
092d41b7-c74f-3ae2-9ac0-4507ec9d906d,synthea_andor_1000,ANDOR_ORG_033,Placeholder Org 33,clinic,ANDOR_SYSTEM,placeholder
094042c7-80b9-3f2a-951b-e7344d21ab4d,synthea_andor_1000,ANDOR_ORG_034,Placeholder Org 34,clinic,ANDOR_SYSTEM,placeholder
0982f329-8f1c-3237-b414-6b989fb32bbd,synthea_andor_1000,ANDOR_ORG_035,Placeholder Org 35,clinic,ANDOR_SYSTEM,placeholder
0a4f9cdd-60b2-33c0-997e-cc953f6ba7e4,synthea_andor_1000,ANDOR_ORG_036,Placeholder Org 36,clinic,ANDOR_SYSTEM,placeholder
0ac550a6-d1e8-3bc8-b170-9951d213d2cc,synthea_andor_1000,ANDOR_ORG_037,Placeholder Org 37,clinic,ANDOR_SYSTEM,placeholder
0af74410-2913-3dde-90e4-7feb082c9e8a,synthea_andor_1000,ANDOR_ORG_038,Placeholder Org 38,clinic,ANDOR_SYSTEM,placeholder
0b5a693b-e383-3c28-a138-d76a29de1f44,synthea_andor_1000,ANDOR_ORG_039,Placeholder Org 39,clinic,ANDOR_SYSTEM,placeholder
0bdf375d-12ae-31ab-bfd9-98871fa981fc,synthea_andor_1000,ANDOR_ORG_040,Placeholder Org 40,clinic,ANDOR_SYSTEM,placeholder
0be2a0b6-dd9e-3321-8d19-fac641e650b5,synthea_andor_1000,ANDOR_ORG_041,Placeholder Org 41,clinic,ANDOR_SYSTEM,placeholder
0c2227a5-59c6-3ab9-84df-3956cc8c72d5,synthea_andor_1000,ANDOR_ORG_042,Placeholder Org 42,clinic,ANDOR_SYSTEM,placeholder
0d1f9851-f8c2-3b7e-8441-25e04d029019,synthea_andor_1000,ANDOR_ORG_043,Placeholder Org 43,clinic,ANDOR_SYSTEM,placeholder
0d66af3d-701c-356e-8b98-d6b31363a398,synthea_andor_1000,ANDOR_ORG_044,Placeholder Org 44,clinic,ANDOR_SYSTEM,placeholder
0d92c593-e603-35c8-9466-88c40827f0a1,synthea_andor_1000,ANDOR_ORG_045,Placeholder Org 45,clinic,ANDOR_SYSTEM,placeholder
0df90aaa-7bc8-327b-894b-2887439c3a16,synthea_andor_1000,ANDOR_ORG_046,Placeholder Org 46,clinic,ANDOR_SYSTEM,placeholder
0e216fc6-49df-33db-b7aa-409874aaac69,synthea_andor_1000,ANDOR_ORG_047,Placeholder Org 47,clinic,ANDOR_SYSTEM,placeholder
0e23306d-130f-3aca-b770-d2ea69504f56,synthea_andor_1000,ANDOR_ORG_048,Placeholder Org 48,clinic,ANDOR_SYSTEM,placeholder
0e2b979b-1374-3128-924c-d609075c6381,synthea_andor_1000,ANDOR_ORG_049,Placeholder Org 49,clinic,ANDOR_SYSTEM,placeholder
0e7b5921-c252-302b-84b3-176a36fdfcdc,synthea_andor_1000,ANDOR_ORG_050,Placeholder Org 50,clinic,ANDOR_SYSTEM,placeholder
0ea13fc4-2bff-34b6-a1aa-97aeca506c7d,synthea_andor_1000,ANDOR_ORG_051,Placeholder Org 51,clinic,ANDOR_SYSTEM,placeholder
0ebfd289-9d94-3c59-85ac-bb6c0da0be1c,synthea_andor_1000,ANDOR_ORG_052,Placeholder Org 52,clinic,ANDOR_SYSTEM,placeholder
0ed96e47-26a7-3e95-8eb0-cf4a62a00d5a,synthea_andor_1000,ANDOR_ORG_053,Placeholder Org 53,clinic,ANDOR_SYSTEM,placeholder
0f560459-b612-33cc-a01a-b4d94f2a8719,synthea_andor_1000,ANDOR_ORG_054,Placeholder Org 54,clinic,ANDOR_SYSTEM,placeholder
0f62c0fc-93d7-3fe4-8456-f1a9971f879e,synthea_andor_1000,ANDOR_ORG_055,Placeholder Org 55,clinic,ANDOR_SYSTEM,placeholder
0f77158a-aa3c-3cd7-868e-9f27ba094078,synthea_andor_1000,ANDOR_ORG_056,Placeholder Org 56,clinic,ANDOR_SYSTEM,placeholder
0fc03d21-b869-3c1d-8598-3d17e14a8952,synthea_andor_1000,ANDOR_ORG_057,Placeholder Org 57,clinic,ANDOR_SYSTEM,placeholder
100d7abb-1b3c-37d3-8f6d-ce53ff257132,synthea_andor_1000,ANDOR_ORG_058,Placeholder Org 58,clinic,ANDOR_SYSTEM,placeholder
1046c206-2daa-31b8-9f7b-1c2f4b3994cb,synthea_andor_1000,ANDOR_ORG_059,Placeholder Org 59,clinic,ANDOR_SYSTEM,placeholder
106ee929-9168-300c-9958-e29535f3fa9a,synthea_andor_1000,ANDOR_ORG_060,Placeholder Org 60,clinic,ANDOR_SYSTEM,placeholder
1087d3c7-bc9c-3cb1-9b7d-26d9dfb87305,synthea_andor_1000,ANDOR_ORG_061,Placeholder Org 61,clinic,ANDOR_SYSTEM,placeholder
10bd5c20-bb7c-3e82-9e24-9a9d06656854,synthea_andor_1000,ANDOR_ORG_062,Placeholder Org 62,clinic,ANDOR_SYSTEM,placeholder
10ea288f-ab27-3bff-b093-4ff5df147ae3,synthea_andor_1000,ANDOR_ORG_063,Placeholder Org 63,clinic,ANDOR_SYSTEM,placeholder
10ec09aa-ac58-376f-aba1-2e56a100cf04,synthea_andor_1000,ANDOR_ORG_064,Placeholder Org 64,clinic,ANDOR_SYSTEM,placeholder
11a96a07-8a24-37f4-a25a-92b83157e15d,synthea_andor_1000,ANDOR_ORG_065,Placeholder Org 65,clinic,ANDOR_SYSTEM,placeholder
12876c8f-f711-36b3-bc60-d38c09c0ed70,synthea_andor_1000,ANDOR_ORG_066,Placeholder Org 66,clinic,ANDOR_SYSTEM,placeholder
12f61580-3a8e-329a-8844-02aaf419bf5f,synthea_andor_1000,ANDOR_ORG_067,Placeholder Org 67,clinic,ANDOR_SYSTEM,placeholder
1333111c-9e8a-3fc6-ace3-80bfaee95026,synthea_andor_1000,ANDOR_ORG_068,Placeholder Org 68,clinic,ANDOR_SYSTEM,placeholder
1367dd39-4cc6-3bc1-92f6-2fd1f4d35a99,synthea_andor_1000,ANDOR_ORG_069,Placeholder Org 69,clinic,ANDOR_SYSTEM,placeholder
13819292-bc40-3663-915a-f4b1a8cfb153,synthea_andor_1000,ANDOR_ORG_070,Placeholder Org 70,clinic,ANDOR_SYSTEM,placeholder
