source_practitioner_id,source_system,npi,andor_practitioner_id,andor_practitioner_name,andor_specialty_nucc,andor_specialty_text,andor_org_guid,notes
6c06b78f-c2ee-3adb-a28d-b7c577b4f74d,synthea_andor_1000,9999930792,,Eveline832 Jerde200,,,pending_org,pending org GUID mapping
95ad35c1-2f65-3896-bd70-1c6268cddf3f,synthea_andor_1000,9999984690,,Eugene421 Dooley940,,,pending_org,pending org GUID mapping
ca3bee48-3651-377f-a987-66e5f9c5f430,synthea_andor_1000,9999953695,,Walton167 Turner526,,,pending_org,pending org GUID mapping
397076ca-6a88-30eb-8fa0-e48fa167e198,synthea_andor_1000,9999951798,,Josue598 Flatley871,,,pending_org,pending org GUID mapping
dc958bfb-dacc-3427-a79b-1c40f569fe27,synthea_andor_1000,9999885491,,Keven605 Wunsch504,,,pending_org,pending org GUID mapping
205c7200-7c90-3388-97b3-aced9e3ecf9d,synthea_andor_1000,9999957191,,Hank686 Schneider199,,,pending_org,pending org GUID mapping
4575adfa-7b8a-30e9-b082-5727c25bdefd,synthea_andor_1000,9999980599,,Mathew182 Cummings51,,,pending_org,pending org GUID mapping
65acf9b7-2115-3ba8-83e3-ef67e128d1c6,synthea_andor_1000,9999996199,,Cristi782 Miller503,,,pending_org,pending org GUID mapping
99e9ca06-9cbd-385a-8a06-d4b28c701c1f,synthea_andor_1000,9999993899,,Shannon293 Denesik803,,,pending_org,pending org GUID mapping
3c49c1b3-4aa8-345f-81d4-9f1c2a264e1b,synthea_andor_1000,9999901496,,Love546 Stoltenberg489,,,pending_org,pending org GUID mapping
b5141024-5be6-30c3-9f06-2ba4dd0ec391,synthea_andor_1000,9999989590,,Noelle559 Padberg411,,,pending_org,pending org GUID mapping
f9946b74-aefc-3d3d-90b2-e7feaab5e49e,synthea_andor_1000,9999945691,,Jean712 Jacobs452,,,pending_org,pending org GUID mapping
cbe3c7f4-a9a3-358e-9729-803fc88a1521,synthea_andor_1000,9999914895,,Fermin479 Paucek755,,,pending_org,pending org GUID mapping
307ac0d5-67ab-350a-8b4c-a5fade9e4129,synthea_andor_1000,9999993790,,Waldo53 Hintz995,,,pending_org,pending org GUID mapping
886ab280-9a5d-3c84-86ba-a6a8897ace53,synthea_andor_1000,9999993691,,Dorcas534 Quigley282,,,pending_org,pending org GUID mapping
5622bf63-0116-389f-8a34-a78b6f4e00e3,synthea_andor_1000,9999958199,,Benedict104 Barrows492,,,pending_org,pending org GUID mapping
79a36069-bfea-3f5c-9a67-5fb8ff51a707,synthea_andor_1000,9999898395,,Gabriela205 Schultz619,,,pending_org,pending org GUID mapping
c687ba51-6be3-31f7-9e5a-f5d30d57a0c9,synthea_andor_1000,9999960393,,Maynard46 Buckridge80,,,pending_org,pending org GUID mapping
359007f0-244b-311c-97ad-dd732c90b879,synthea_andor_1000,9999908798,,Sid118 Conn188,,,pending_org,pending org GUID mapping
cf7ae1ef-7a84-3efa-ac03-a982b076d7e0,synthea_andor_1000,9999943795,,Augustus49 Robel940,,,pending_org,pending org GUID mapping
0882d79e-82b8-3894-8724-694062b90e36,synthea_andor_1000,9999896191,,Chery887 Nicolas769,,,pending_org,pending org GUID mapping
8c749ab3-a383-3053-b69d-6c2661b938ce,synthea_andor_1000,9999962795,,Donovan745 Hettinger594,,,pending_org,pending org GUID mapping
fa52c18b-a970-32c7-b1a3-44b4acb01592,synthea_andor_1000,9999969097,,Emmanuel930 Kshlerin58,,,pending_org,pending org GUID mapping
2937062b-277e-36eb-8b21-c98bae0f10c2,synthea_andor_1000,9999963496,,Harold594 Bashirian201,,,pending_org,pending org GUID mapping
54e120c1-81fc-3981-a9e0-ba6607203882,synthea_andor_1000,9999974394,,Olevia458 Hermiston71,,,pending_org,pending org GUID mapping
d11693cf-849c-3203-b47c-65a245ce0133,synthea_andor_1000,9999961391,,Jill895 Hagenes547,,,pending_org,pending org GUID mapping
