Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
86c3d8af-8104-3632-adce-fd260f10cf0d,ST AGNES HSPTL HOME CARE SVC,239 TROWBRIDGE DRIVE,FOND DU LAC,WI,549379180,43.74525868547042,-88.47806651636562,9209237950,0.0,2554
9649ae42-cac1-33a8-99b8-6adf4232d606,HEARTLAND HOSPICE SERVICES,2801 CROSSROADS DR  SUITE 2000,MADISON,WI,537187994,43.132269,-89.290323,6088190033,0.0,236
8ea8dda8-8f16-3c4c-be29-fcc32e61d67f,COUNTY OF RICHLAND,25951 CIRCLE VIEW DR,RICHLAND CENTER,WI,535814013,43.3355111,-90.3854036,6086472138,0.0,1
1d02285d-7fcf-3016-82e0-a5edb2b22a03,MERCY MANOR TRANSITION CENTER,1000 MINERAL POINT AVE,JANESVILLE,WI,535482940,42.687930449999996,-89.0338544387098,6087566050,0.0,276
09f5f504-04d6-3e75-b473-beb4e8ff23ef,NSH DELAVAN LLC,905 E GENEVA ST,DELAVAN,WI,531151922,42.627631,-88.633181,2627286319,0.0,3
1ae1e745-ceb3-3a68-8140-cab56d023811,Pediatrics - Greenfield,10 Oak Ave,Monroe,WI,53566,42.605,-89.638,6085551400,0.0,3195
03610ed4-877a-3f40-89ea-706f452e3d25,ST CROIX HOSPICE,414 BROADWAY ST  SUITE 200,PLATTEVILLE,WI,538183137,42.73645572984137,-90.46795417822209,6084484200,0.0,4
c0876791-5670-3d70-934b-633268b30040,SSM HEALTH ST MARY'S CARE CENTER,3401 MAPLE GROVE DR,MADISON,WI,537195013,43.0115087,-89.49737347075427,6088451000,0.0,411
218bc3a6-1265-3b6e-b62e-f07e742450ca,BEDROCK HCS AT WATERTOWN LLC,121 HOSPITAL DR,WATERTOWN,WI,530983303,43.199114,-88.698893,9202619220,0.0,3
644d3ae0-68be-3d86-b2b2-2e334f6c7fc3,NSH RANDOLPH LLC,502 S HIGH ST,RANDOLPH,WI,539561499,43.53448465334992,-89.00682468746686,9203263171,0.0,3
